Date,Rating,Title,Opinion,Attraction
7 de octubre de 2022,50,Fue mi primera vez,"Quedé muy complacida, excelente atención y la calidad desde el personl hasta la presentación de los platos, todo fue para mi muy impactante, los exhorto a continuar así, para mi son ⭐⭐⭐⭐⭐.",Restaurant
7 de octubre de 2022,50,Un atarde exelente en el dalicia,Es un lugar exelente super recomendable una calidad tanto de el servicio como la cocina lo unico que tengo para desir es exelencia pocos lugares e visitado con tanta exelencia general de todo repetiraia mi viscita mil veces mas se los recomiendo a todos,Restaurant
7 de octubre de 2022,50,visita en familia,Realmente un lugar agradable para pasar en familia excelente servicio y la calidad de la comida muy buena,Restaurant
6 de octubre de 2022,50,"Mi primera vez en el recinto, un lugar exquisito el cual recomiendo 100%","Me encantó el trato del personal, la comida excelente, muy rápido el servicio pues esta modernizado con tableta, los exquisitos platos y el cordial trato me dejo anonadado, recomendadisimo.",Restaurant
5 de octubre de 2022,50,Un lugar excelente para pasar el rato con familia y amigos,La atención fue espectacular. Agradecida con el capitán Xaviel. Que nos hizo sentir súper bien. Lo recomiendo por su calidad en comida y su hospitalidad,Restaurant
5 de octubre de 2022,50,Celebrando cumple,"Muy buen servicio, atención y trato por parte de los dependientes, todo esquisto y de excelente calidad en los platos ofertados",Restaurant
1 de octubre de 2022,50,Pasando mi cumpleaños,"Lugar fantástico donde la comida, el servicio, la atención es inigualable lo recomendados al 100%.soy repitente y las q me faltan",Restaurant
1 de octubre de 2022,50,Un lugar para repetir,"Un lugar espectacular en cuanto ambiente , servicio, calidad en la Comida y el trato de los dependientes especial",Restaurant
30 de septiembre de 2022,50,Maravillosa experiencia,"Bello lugar, excelente servicio, con un trato espectacular con el capitán Xaviel a la cabeza y la comida fue muy buena, muy recomendable el lugar.",Restaurant
30 de septiembre de 2022,50,"Lo mejor, de lo mejor",Excelente servicio. Excelente calidad de comida y una ambientación agradable para pasar un momento agradable... Muy profesionales 🙏,Restaurant
24 de septiembre de 2022,50,Doñaalicia un lugar exquisito e inolvidable volveremos a repetir la visita,Mi experiencia y la de mi familia fue maravillosa el servicio fue muy bueno siempre atentos a nosotros y la comida exquisita lo recomiendo,Restaurant
14 de septiembre de 2022,50,Comida,"Excelente servicio, amabilidad, petición de comida con tablet muy moderno, con imágenes y comida buenísima. La puerta desde la calle cuesta de ver, pero entras dentro y es otro mundo.",Restaurant
11 de septiembre de 2022,50,El mejor restaurante de la Habana!!!!,"Estamos encantados con el trato a nuestra familia. Nos sentimos muy bien,los cócteles muy buenos, la cena espectacular. El equipo de trabajo súper amable. Todo súper especial.Graciaaaaas. de seguro repetiré mi visita.Muchas felicidades a todos por hacer amena y acogedora nuestra visita.",Restaurant
11 de septiembre de 2022,50,Doña Alicia,"Excelente restaurante, con un ambiente agradable, una atención maravillosa y sus platos con una calidad de primera👌 100% recomendado...",Restaurant
10 de septiembre de 2022,50,Una maravilla 😊,"Me encantó este sitio. La comida super rica. El local ideal, cómodo y fresco. El personal un encanto. Muy recomendable.",Restaurant
9 de septiembre de 2022,50,Se mantienen muy bien,Muy buena calidad precio. Buen cervicio y confort. Se mantienen en lo maximo de los restaurantes en cuba. Gracias a todi el equipo,Restaurant
6 de septiembre de 2022,50,De los restaurantes más visitados de la habana,"He visitado este restaurante en varias ocasiones,y siempre salgo satisfecha ,la comida espectacular ,la atención dedicada, y siempre están innovando.Recomendado al 200%",Restaurant
5 de septiembre de 2022,50,Tarde de domingo,Nuevamente visite el restaurante magnífica la comida y la atención … es difícil mantener la calidad en los tiempos q vivimos pero ustedes se crecen en las dificultades … los postres son toda una adiccion ..Felicidades por todo y sigan así,Restaurant
30 de agosto de 2022,50,Espectacular,Un servicio excelente y la comida súper rica recomendado 100% para ir en familia . Me encanta la tecnología que tienen y los cócteles súper ricos .,Restaurant
28 de agosto de 2022,50,Celebrando mi cumpleaños numero 40,Muyyyyy buena la atencion la comida exquisita los dulces espectaculares y los jugos y los tragos excepcional,Restaurant
27 de agosto de 2022,50,Me encanta,"Excelente lugar,comida y su trato es espectacular más que recomendado muy confortable y muy ricos todos sus cócteles",Restaurant
27 de agosto de 2022,50,Almuerzo entre amigos,"Si de lugar increíble se trata recomiendo visitar el restaurante Doña Alicia, excelente trato, calidad de la comida y servicio de calidad. 😉 Además no debemos dejar de mencionar lo novedoso del modo de realizar los pedidos con la tecnología que tiene implementada, súper!!!",Restaurant
27 de agosto de 2022,50,Una compartición,"Un restaurante con buen confort, con servicio tecnológico. De lo más novedoso y atractivo. La atención es buena, la comida igual.",Restaurant
26 de agosto de 2022,50,Espectacular!!!,"En nuestra visita al restaurante Doña Alicia quedamos fascinados, es espectacular en todo, ofrece la comida con la mejor calidad, un servicio magnífico, ambiente acogedor, El precio va de acuerdo al servicio y la calidad que tienen sus platillos, la experiencia fue fabulosa, nos encantó..",Restaurant
26 de agosto de 2022,50,EL MEJOR DE TODOS,"Tuve el placer de visitar este restaurante, uno de los mejores de Cuba al igual q el restaurante Ricardon, exquisita comida, con una calidad única, servicio de excelencia, quedamos encantados y regresaremos pronto, nuestras felicitaciones para ese gran colectivo ....",Restaurant
25 de agosto de 2022,50,El mejor restaurante de la ciudad,Siempre es un placer regresar a Doña Alicia. Comida exquisita y servicio impecable. Es el sitio favorito de nuestra familia para compartir momentos agradables.,Restaurant
24 de agosto de 2022,50,Excelente,"Servicio diferente, excelente oferta,sabor de la abuela de verdad. Y un servicio a domicilio eficaz por años",Restaurant
22 de agosto de 2022,50,Lo mejor de la Habana,"El restaurante doña Alicia se caracteriza por tener las mejores pizza de la Habana, los mejores cócteles, cada vez que un amigo o conocido me pregunta dónde pueden comer ,comida rica ,les recomiendo este súper restaurante, continúes así colectivo de doña alicia",Restaurant
21 de agosto de 2022,50,Doña Alicia la exelencia culinaria.,"Muy rica comida crioya típica de cuba , también debo resaltar la comida internacional en especial la italiana además de un servicio muy agradable por parte de sus trabajadores y la dirección del restaurant en caso de dudas muy recomendable.",Restaurant
21 de agosto de 2022,50,"Rico , excelente","Los mejor de lo mejor , un lugar en cuba para repetir, sus platos son verdaderamente ricos ,ej la ropa vieja , las pizzas , el bistec de la abuela",Restaurant
23 de abril de 2022,50,En Doña Alicia,"Super servicio, atención fenomenal y comida riquísima, y si vas porque celebras cumpleaños o aniversario te cantan y te ponen música de lo mejor la atención",Restaurant
4 de octubre de 2021,50,Excelencia,"Excelente la comida, todo exquisito,recomendado 100%, si alguien no lo ha visitado se los recomiendo, no se va a arrepentir, todo lo contrario, no va a querer ir a otro sitio.",Restaurant
1 de octubre de 2021,50,Restaurante doña Alicia,"Excelente presentación, preparación y las porciones, suficientes para dejar para el otro día, exquisita la comida.",Restaurant
18 de julio de 2021,10,Pésima calidad de la comida,"Pésima lasaña. La masa estaba malísima, casi cruda, tenía sabor a cucaracha y un aspecto raro, casi de color gris. Además, era solo masa, casi no tenía jamón ni queso.",Restaurant
7 de mayo de 2021,50,Nilsa,Muchas felicidades. Exquisita chinos. El pollo relleno espectacular al igual que el congris. Increíble. Servicio rápido .a la hora .es que todo excelente .ya soy cliente de por vida .,Restaurant
27 de abril de 2021,50,Doña Alicia mejor restaurante de La Habana,Un servicio excelente. Personal excelente. Comida esquisita. Para mí y mi familia el mejor restaurante de La Habana. Muy profesionales y antentos a las necesidades del cliente. No tengo absolutamente nada para quejarme. SON LOS MEJORES!!!!,Restaurant
13 de abril de 2021,50,Gracias Doña Alicia,"Gracias a Doña Alicia por su excelnte trabajo, en tiempos de pandemia se hace dificil ante tanta escacez encontrar quien mantenga la calidad en lo ofrecido y uds lo logran con creces. Muy complacida. Gracias mil.",Restaurant
26 de marzo de 2021,50,El mejor de la Habana,"El mejor restaurant sin duda de la Habana, comida exquisita a bien precio, atención de primera calidad, profesionales en todos los sentido, el que lo visita por primera vez tiene que repetir y volver a repetir q después no quiere saber de ningún otro restaurant",Restaurant
26 de marzo de 2021,50,Comida a Domicilio,"La comida a Domicilio de Doña Alicia, hasta ahora lo que he podido probar, para mí una de las mejores comidas que he comido, excelente emplatado, buena calidad acompañado de un buen servicio y atención al cliente. Se los recomiendo 💯💯💯.",Restaurant
11 de marzo de 2021,50,Recomendado 💯 % Doña Alicia,Bello lugar ...la comida exquisita y la rapidez de servicio y el buen trato d los dependientes espectacular Ansiosa por volver al restaurante y consumir sus ricas comidas 🥰,Restaurant
3 de febrero de 2021,50,Una opción maravillosa,"Muchas gracias a todos los trabajadores del lugar, ya son varias visitas las que he realizado a este maravilloso restaurante y siempre quedo con deseos de volver. Es un lugar renovado, de nuevas ideas y comida maravillosa♥️",Restaurant
2 de enero de 2021,50,Restaurante Doña Alicia,"Visité junto a mi familia el restaurante el día del cumpleaños de mi mamá el pasado 11 de diciembre y la pasamos muy bien. Excelente servicio y que decir de su comida,es una delicia. Para mi familia y para mí está súper recomendadísimo.",Restaurant
1 de enero de 2021,50,Hola,Me encantó el servicio y la comodidad de la app. De fácil acceso y muy completa de las mejores que visto.,Restaurant
26 de diciembre de 2020,50,Doña Alicia el mejor destino,Si quieres pasar un momento increíble junto a amistades y amigos no dejes de ir a Doña Alicia. Es el mejor destino para disfrutar de platos espectaculares y la mejor atención se los recomiendo a todos.,Restaurant
27 de noviembre de 2020,50,Amo Doña Alicia,"Me encanta, la comida súper, higiene, antencion, elaboración, tragos todo súper. Siempre que pueda me escapare y les haré la visita, disfruto cada segundo ahí. Muchas Felicidades para todo el colectivo de trabajo.",Restaurant
5 de noviembre de 2020,50,Doña Alicia,Me encantó la experiencia en doña Alicia.. sin dudas volvería... me encanta su comida y sobre todo la sangría española jjj... gracias a su familia por tan buen servicio,Restaurant
13 de octubre de 2020,50,Mi restaurant favorito en la Habana!!! ❤️,"Fui por vez primera hace dos años y amé la experiencia al punto de que se ha convertido en uno de mis lugares favoritos,la comida excelente, muy lindo ambiente, y a pesar de estar lleno de innovaciones tecnológicas,la calidez del personal no falta.",Restaurant
12 de octubre de 2020,50,"Desde la apertura del doña Alicia fans bro 1, íbamos casi q a diario","Poseen una inmensa diversidad de productos,calidad,buen trato,ambiente favorable,magnífico para visitar por cualquier ocasión,deliciosa toda sus comidas,fascinantes sus tacos al pastor y su dulce tres leche",Restaurant
10 de octubre de 2020,50,Doña Alicia,"Magnífico servicio, la comida riquísima, tuve la oportunidad de comer en el restaurante y soy asidua a su comida a domicilio, sigan asi",Restaurant
6 de octubre de 2020,50,Espectacular,"Excelente combinacion de tecnologia y servicio, la calidad de la comida es estupenda y super deliciosa. La verdad que se los recomiendo.",Restaurant
18 de septiembre de 2020,50,"Especial, algo diferente","Muy buena atención, tecnológico e innovador, comida muy bien elaborada, su amplia demanda muestra su calidad, respecto al precio muy de acorde con lo consumido, en cantidad y calidad, el servicio a domicilio es especial, llevo años usándolo. Son los mejores",Restaurant
18 de septiembre de 2020,50,Recomendado al 100,"Excelente comida, lo recomiendo al 100%. En estos momentos de Pandemia se han crecido! Felicidades. Sigan asi",Restaurant
31 de agosto de 2020,50,Domicilio,"Exquisita la comida y excelente servicio. Rápida atención y eficiencia al máximo, buena higiene. Placer cenar con Uds.",Restaurant
8 de marzo de 2020,50,Otro gran restaurante en la Habana,"Gran restaurante calidad precio, los camareros muy amables y atentos, recomendado 100%, tienen un local de pasteles muy buenos.",Restaurant
27 de febrero de 2020,50,Excelente opcion,"Fuimos a celebrar el cumpleanos de mi hija, muy buena opcion, muy amable todo el personal, la comida muy bien elaborada y sabrosa, muy buena aplicacion de las tecnologias en todo el servicio, excelente lugar para pasarlo con amigos y familia.",Restaurant
26 de febrero de 2020,50,Celebrando..En Doña Alicia...,Es un excelentísimo restaurante...de hecho lo escogemos para celebraciones de cumpleaños...exquisita comida y excelente trato ..un servicio rápido y eficiente..para nosotros es el mejor...,Restaurant
20 de enero de 2020,50,Mejor restaurant de la habana,"Sin duda el mejor restaurante al que he ido,muy impresionante la tecnología y una comida de exelencia.Lo recomiendo para todo aquel que desea vivir una experiencia única e inolvidable.No dejen de probar sus postres q son exquisitos.",Restaurant
16 de noviembre de 2019,50,Lugar mágico y espectacular,"Ese lugar del que no te quieres ir nunca, donde cocinan como lo hace una abuela, con amor. Perfecta combinación de tecnología con amabilidad y profesionalismo.",Restaurant
16 de noviembre de 2019,50,Mi experiencia en Doña Alicia,"Soy Gustavo camarero de Doña Alicia,ahora les trasmito mi experiencia como cliente:me atrae del negocio la buena vibra que se respira,la excelente calidad de nuestra comida y la sonrisa con la que a cada dependiente se caracteriza.Visitar Doña Alicia una buena opción les aseguro",Restaurant
6 de febrero de 2019,50,"Moderno, Todo muy Rico","Llama a atención este restaurante por el uso de Pantallas táctiles para ordenar y pedir la cuenta, el servicio es Rápido, buen sabor y porcion, definitivamente retornaré...",Restaurant
23 de diciembre de 2018,50,Espectacular,"Desde que conocimos este lugar, ha sido muy difícil determinar ir a otro, lo recomendamos... Comida muy bien terminada, servicio de excelencia y muy novedoso todo, carta electrónica, los pioneros en Cuba en este tema.",Restaurant
26 de noviembre de 2018,50,"Top 3 de la Habana en Calidad, Servicio y Novedad","No puedo empezar a escribir sobre este restaurante sin hacer la distinción de lo que más aprecié, sin dudas el uso de la tecnología permitió que el servicio fluyera al ritmo de los clientes. Cuando salgo a cenar, deseo disfrutar de todos los placeres del...Más",Restaurant
12 de noviembre de 2018,50,La tecnología al servicio del buen comer,"Sin lugar a dudas lo novedoso de este restaurant es el tema de los tablets en cada mesa y la fprma de hacer los pedidos; no obstante más allá de esto, se trata de un lugar donde la comida tiene un excelente sabor, el trato es amable y lo único lamentables es que no sea un poco más grande para que las filas para entrar fueran más cortas; no obstante la espera VALE LA PENA.",Restaurant
31 de octubre de 2018,50,Sabrososamente tecnológico...,"Nada más llegar a la Habana, Armandito, tras hospedarnos por el área de Carlos III, nos recomendó este restaurante. Buen síntoma, la puerta estaba llena de gente, pedimos vez, nos anotaron en la lista y una media hora después, entramos.  El restaurante tiene tablets en cada mesa, seleccionas los platos, entrantes, guarniciones, bebidas y haces el pedido “on-line”. Te marca el tiempo de espera y los minutos para que tu pedido llegue a la mesa. Más allá de la tecnología, novedosa sin duda en la Havana, la comida fue espectacular.  Aguacatón con decenas de camarones, ceviche riquísimos, decenas de tostones. El plato de fajitas era enorme con sus guarniciones cubanas, arroces varios, salsas… Además tenían cerveza cubana, Cristal, que fue imposible encontrarla en muchos otros restaurantes durante el resto del viaje por Cuba.  El servicio perfecto al tiempo que marcaba la pantalla. El precio asequible tanto para cubanos como para foráneos. Al día siguiente repetimos, había mucha gente y pedimos unas pizzas en la “barra de pedidos” en el local contiguo, también de Da Alicia. ¡Enhorabuena!. Muchas gracias.",Restaurant
29 de agosto de 2018,50,El mejor restaurante de La Habana,"Todo dentro de este restaurante es perfecto: La comida con el sazón perfecto, las enormes porciones, los precios sumamente accesibles, el servicio... El único ""defecto"" son las grandes filas; sin embargo ello habla bien del restaurante. Pero tranquilo, a la vuelta está la cafetería de servicio express, perfecta para pedir comida para llevar, o comer en las barras con las que ahí cuentan.",Restaurant
19 de octubre de 2018,50,Excelente personal,"Hemos estado en este lugar muchas veces, especialmente en la sección de comida para llevar. Algunos platos eran normales, mientras que otros eran geniales. Mi favorito y el que recomiendo es definitivamente sopa de pescado y marisco. No recomendaría la pasta. Sin embargo, lo que hace que este lugar sea especial es el personal. Cada una de las personas con las que hemos interactuado, incluido el propietario, fue muy agradable, amable y dispuesta a ayudar. La mayoría del personal también habla inglés bien. ¡Muy recomendable!",Restaurant
1 de julio de 2018,50,Comida excelente y el personal 🙌 🙌,"Este lugar fue mi última encontrar en mi viaje más reciente a Cuba, totalmente impresionado! Sin duda volvería, precios es perfecto n la comida era deliciosa "" la única cosa que creo que necesitan empezar a hacer es limpiar la cola de la gamba. Puedo comprobar que en todas partes, incluso en casa en los estados unidos. En muchos lugares no es limpio por la parte trasera de camarones pequeños. . Así que no preocuparse, no comer y crujiente pollo frito ordenados algunos de mama! Tuve un problema con mi coca cola de ser plana y lo arreglaron enseguida, dándome una nueva bebida gratis! ! Ahora que es un gran servicio al cliente, el gerente y los camareros eran todos maravillosos y sin duda volveremos! #cocacola #experto!  Este fue el último encuentro de mi viaje más reciente a Cuba. Yo regresaré impresionante perfectos, los precios y la comida deliciosa lo único que ellos necesitan es empezar acer limpiado la parte de atrás de los camarones. Yo checko esto en todo los lugares, también en el estados unidos. Muchos lugares no limpian la surcamos parte de atrás de los camarones. No me preocupe, sólo no los comí y trozos de pechuga frita ordene! Tuve un problema con mi pecado (Coca Cola) de gas estaba al momento dándome lo arreglaron otra bebida sin cobro! ! Ahora eso se llama buen servicio, el gerente y los meseros; los mejores. Regresare!  #la experta de la #Coca Cola",Restaurant
22 de octubre de 2022,50,Uno de mis favoritos!,"Altamente recomendado, definitivamente una de las mejores opciones en la Habana, excelente servicio, comida e instalaciones. Un lugar muy acogedor. La atención del host es bastante buena. Recomiendo las costillas de cerdo y las pastas en general.",Restaurant
16 de octubre de 2022,50,El mejor restaurante de La Habana,"Sensaciones tiene su nombre bien puesto, porque despierta todos los sentidos con el sabor de sus platos, su equipo de trabajo es magnífico, siempre atentos a todos los detalles, sin dudas lo recomiendo como primera opción para pasar un rato agradable y deleitar su paladar.",Restaurant
15 de septiembre de 2022,50,Exelente lugar,Exelente lugar para mi la mejor comida y la mejor atención de todo el país de cuba.el trato de los trabajadores maravillo sin duda alguna un lugar al cual no debes dejar de visitar experiencia maravillosa la mejor.gracias por todo,Restaurant
4 de agosto de 2022,30,"Precio, sobrevalorado","La Atención excelente, pero la comida no va de acorde a los precios , en la habana encuentras comida mas rica , con precios el doble mas barato.",Restaurant
29 de julio de 2022,50,Genial 😁,"Quieres sentir buen trato, buen gusto, buena calidad en la comida y además satisfaccion plena pues todo eso lo puedes encontrar en este restaurante!!! Recordado 100%",Restaurant
26 de julio de 2022,40,Exquisita comida,"Exelente comida, y mejor trato, un lugar donde la comida resulta exquisita, donde el cliente prioridad, con un servicio muy rápido y eficiente",Restaurant
28 de junio de 2022,50,Maravilloso! Gracias yavoycuba,"Lo encontré gracias a la página yavoycuba, una página donde pagas delivery y prepagas para comer ahi.",Restaurant
22 de mayo de 2022,50,Sensacional 🥳 🥳,Mi salida preferida es salir a comer y aquí en sensaciones disfrute de una experiencia única en cada bocado. Lo mejor.,Restaurant
21 de mayo de 2022,50,Excelente!!,Una atención esmerada . La comida fantástica.👏👏👍 muy recomendado para compartir con amistades o familia.,Restaurant
15 de mayo de 2022,50,De iliana,"Muchas gracias por la amabilidad del personal que nos atendió y la calidad de la comida, muchísimas gracias y continuen así porque quiero repetir mi visita muchas veces😊😊😊😊🤩🤩🤩🤩🤩🤩🤩",Restaurant
11 de mayo de 2022,50,Súper recomendado,"De los mejores lugares que he visitado en la habana, todo excelente, atención, calidad en la comida. Si van a la habana no dejen de pasar por Sensaciones.",Restaurant
20 de abril de 2022,50,Me encanto,"Me encanta la comida de este restaurant ,y el trato es espectacular ,lo recomiendo para mi es el mejor de todos",Restaurant
17 de abril de 2022,50,Gran experiencia,Fui con un grupo de amigos y la pasamos súper bien. La ensalada César y el risotto fantástico! Nos encanto,Restaurant
29 de marzo de 2022,50,Cena en amigo,"Lo mejor de lo mejor en Cuba , sabores afrodisíacos ,sensaciones únicas y atención única es como estar en casa pero en otra dimensión.",Restaurant
25 de marzo de 2022,50,Súper bueno,"El mejor restaurante de la habana y cuba,la Mejor comida y servicio que hay en la isla,mis recomendaciones son el steak tartar plato único en cuba y el solomillo que no se equivocan nunca con la terminación,verdaderamente lo recomiendo",Restaurant
8 de marzo de 2022,50,"Especial, siempre regresaré","Especial! Calidad óptima en los alimentos, la elaboración y el sabor. El personal agradable como sebe ser en un restaurante. He repetido 3 veces la ensalada césar pero recomiendo todos los platos. Limpieza 100!",Restaurant
19 de febrero de 2022,50,Excelente,"Atención maravillosa, la comida espectacular, un lugar increíblemente bueno, con calidad de 100 y variedad de platos. Visité el restaurante y desde que llegamos fue increíble el trato, la atención y la calidad. Un lugar para repetir una y mil veces más. Felicidades!!",Restaurant
15 de febrero de 2022,50,14 de febrero estupe do en Sensaciones,"Muy buen servicio de todos los dependientes y del meitle,exquisita la comida. La verdad que pasé un rato muy agradable con la compañía de mi pequeña.",Restaurant
8 de febrero de 2022,50,The best,Increíble experiencia! Los mejores de toda la Habana! Un ambiente increíble y la comida deliciosa! Los dependientes súper atentos y profesionales! Variedad de ofertas! Me encanta,Restaurant
8 de febrero de 2022,50,🤩,Excelente experiencia. Buena atención Encantada del lugar Uno de los mejores restaurantes de la habana,Restaurant
6 de febrero de 2022,50,Como siempre,"Venir a sensacioones siempre es una experiencia. Sabores inigualables en la Habana. Servicio de excelencia, amabilidad y empatia muy distinguida. Quien quiera disfrutar de una experiencia y el deseo de volver a repetir la visita, este es el lugar!",Restaurant
6 de febrero de 2022,50,Inigualable e insuperable experiencia,Elaboraciomes de alto nivel!!! servicio de excelencia!!!Siempre que hacemos la visita nos quedamos encantados.Un sitio que siempre es un placer visitar.,Restaurant
6 de febrero de 2022,50,Comida perfecta,La comida espectacular el servicio perfecto la dependienta heisi una d las mejores total mente recomendado tanto para comer como para pasar un buen rato,Restaurant
6 de febrero de 2022,50,Encantadisimos,Espectacular Sin palabras muy recomendado estamos encantados con geisy y el resto de equipo de trabajo,Restaurant
5 de febrero de 2022,50,😍😍😍,todo super bueno....los espaguetis alfredos es lo mejor....aki se come un jamón ibérico súper bueno. Soy clienta fija....ya hasta las camareras saben lo que kiero. Son súper amables y atentos. 🥰🥰🥰🤤🤤🤤🤤,Restaurant
2 de febrero de 2022,50,De lo mejor en nuestra habana,"Todo excelente, la comida muy buena, la bebida igual pero lo mejor ha sido el servicio, muy afectuoso y personal, sin elitismo ni extravagancias, de todos los lugares donde he visitado es el mejor",Restaurant
25 de enero de 2022,50,Espectacular sensaciones,"Espectacular todo, excelente la atención de todos y de excelencia la comida..una experiencia inolvidable. Lo mejor de Cuba",Restaurant
8 de enero de 2022,50,Espectacular!!!!,"Agradecemos a todo el equipo de Sensacioones. La cena fue espectacular, el menú elegido fue exquisito, los sabores y texturas insuperables. La berenjena a la parmesana no podría resultar más deliciosa, de hecho repetimos 🤗. Sin lugar a dudas nos veremos nuevamente.",Restaurant
28 de diciembre de 2021,40,Excelente opción,"Es un sitio excelente ,nos encantó ,la comida espectacular , a destacar la gran variedad de platos que hay , saludos",Restaurant
22 de diciembre de 2021,50,Excelente atención,"Tuvimos un almuerzo de negocios en este lugar y la atención y comida fueron excelentes!! El lugar muy bonito y el staff dió nuy buen servicio, lo recomiendo",Restaurant
20 de diciembre de 2021,50,Sensacional,"Fuimos recomendados, pero superó nuestras expectativas. Ambiente acogedor, servicio personalizado y profesional. La comida exquisita y la presentación de los platos imperdible. Altamente recomendable.",Restaurant
20 de diciembre de 2021,50,Ideal e integral!!!,"Excelente servicio, lugar acogedor y la comida estupenda. Todo salió tal y como esperábamos. Ideal el momento pasado.",Restaurant
13 de diciembre de 2021,50,El mejor de cuba,Hoy tuve la oportunidad de comer en sensaciones y fue algo increíble los olores los sabores los cócteles y sobre todo la atención maravillosa por parte de sus trabajadores gracias por hacer lo q Hacen son los mejores,Restaurant
30 de noviembre de 2021,50,Linda noche,Ante todo felicitar al meitre del lugar muy atento y profesional la comida exquisita platos bien presentados coctelería muy buena tome Campari Orange súper súper el arroz negro súper el corte de carne igual ligar acogedor en fin recomiendo el lugar,Restaurant
27 de noviembre de 2021,50,Todo excelente,"Comi' ayer con otros amigos en Sensacciones y todo salio' muy muy bien .Comida richisima , todo muy sabroso y bien cocinado.Servicio de primero nivel y precio conforme calcolando la calidad , entonces....tenemos que regresar pronto!",Restaurant
7 de noviembre de 2021,50,SENSACIOONAL 🥰,"SENSACIOONAL 🤩🤩🤩 mi Restaurant preferido 👌👌 la cocina más exquisita de La Habana ♥️ La cesar salad , carpaccio y filete de res son nuestros preferidos 💯",Restaurant
6 de noviembre de 2021,50,Sensacion,El restaurante es lo mejor la comida es esxelente y el serbicu es de lo mejor yo le doy 10 estrellas,Restaurant
4 de noviembre de 2021,50,Siempre excelentes,Por mas que pasa el tiempo este lugar me gusta más. El servicio siempre al cuidado del cliente. La comida elaborada con mimo. Gracias!! Sumamente recomendado.,Restaurant
24 de octubre de 2021,50,Restaurante Sensaciones,"Un restaurante espectacular, la comida y la atención buenísimas, un sitio tranquilo donde tiene una terraza si quiere degustar un buen puro y un buen trago. Lo recomiendo 100 %.",Restaurant
14 de diciembre de 2020,50,Recomendado,"Es mi restaurante favorito en la habana, excelencia en el servicio, la comida muy variada y con un sabor sin igual. El trato de parte de el personal de servicio es de veras alucinante.",Restaurant
11 de diciembre de 2020,50,Mejor restaurante de la Habana .,Espectacular el servicio y la comida . Más que recomendado. No cabe duda que estamos hablando dl mejor restaurante de la Habana en estos momentos . Una vez más .... SENSACIONES!!!,Restaurant
